Target_us;measured_time_us;Jitter_us
100000.0;99908.608;91.3920000000071
1000.0;6605.824;5605.824
2000.0;6441.728;4441.728
5000.0;5245.696;245.6959999999999
10000.0;14444.288;4444.2880000000005
100000.0;100014.848;14.847999999998137
1000.0;4580.352;3580.352
2000.0;4297.984;2297.9840000000004
5000.0;4305.92;694.0799999999999
10000.0;2352.896;7647.103999999999
100000.0;99997.44;2.5599999999976717
1000.0;3710.976;2710.976
2000.0;3633.92;1633.92
5000.0;3355.392;1644.6080000000002
10000.0;9456.384;543.616
100000.0;100950.016;950.0160000000033
1000.0;3310.336;2310.336
2000.0;3194.368;1194.368
5000.0;2999.552;2000.4479999999999
10000.0;9785.344;214.65600000000086
100000.0;98981.376;1018.6239999999962
1000.0;2818.304;1818.304
2000.0;2809.6;809.5999999999999
5000.0;3831.04;1168.96
10000.0;9902.592;97.40799999999945
100000.0;100167.936;167.9360000000015
1000.0;2667.008;1667.0079999999998
2000.0;2534.912;534.9119999999998
5000.0;4656.64;343.3599999999997
10000.0;10049.024;49.02399999999943
100000.0;99826.432;173.5679999999993
1000.0;2376.192;1376.192
2000.0;2534.144;534.1439999999998
5000.0;4967.168;32.832000000000335
10000.0;9946.88;53.1200000000008
100000.0;100017.92;17.919999999998254
1000.0;2358.528;1358.5279999999998
2000.0;2343.68;343.67999999999984
5000.0;4587.52;412.47999999999956
10000.0;10045.952;45.951999999999316
100000.0;99955.712;44.288000000000466
1000.0;2080.512;1080.5120000000002
2000.0;2226.944;226.94399999999996
5000.0;4785.408;214.59199999999964
10000.0;9971.712;28.288000000000466
100000.0;99983.36;16.639999999999418
1000.0;2087.68;1087.6799999999998
2000.0;2021.376;21.375999999999976
5000.0;5013.248;13.247999999999593
10000.0;10039.808;39.8080000000009
100000.0;100095.232;95.23200000000361
1000.0;1890.048;890.048
2000.0;1843.456;156.5440000000001
5000.0;4901.632;98.3680000000004
10000.0;9981.696;18.304000000000087
100000.0;100074.752;74.75199999999313
1000.0;1849.6;849.5999999999999
2000.0;1864.448;135.5519999999999
5000.0;4986.112;13.88799999999992
10000.0;10219.776;219.77599999999984
100000.0;99846.912;153.08800000000338
1000.0;1863.936;863.9359999999999
2000.0;1742.592;257.4079999999999
5000.0;5015.808;15.807999999999993
10000.0;9787.648;212.35200000000077
100000.0;100029.184;29.18399999999383
1000.0;1666.304;666.3040000000001
2000.0;1662.208;337.7919999999999
5000.0;5067.776;67.77599999999984
10000.0;9935.872;64.12800000000061
100000.0;100016.64;16.639999999999418
1000.0;1663.488;663.488
2000.0;1778.688;221.3119999999999
5000.0;4901.888;98.11200000000008
10000.0;10023.936;23.935999999999694
100000.0;104043.008;4043.0080000000016
1000.0;1652.48;652.48
2000.0;1735.168;264.8320000000001
5000.0;5074.944;74.94400000000041
10000.0;9964.288;35.711999999999534
100000.0;100000.0;0.0
1000.0;1724.16;724.1600000000001
2000.0;1733.632;266.36799999999994
5000.0;4889.856;110.14400000000023
10000.0;10026.496;26.495999999999185
100000.0;99949.056;50.94400000000314
1000.0;1658.88;658.8800000000001
2000.0;1748.736;251.2639999999999
5000.0;5110.272;110.27199999999993
10000.0;10011.136;11.136000000000422
100000.0;101503.488;1503.4879999999976
1000.0;1627.648;627.6479999999999
2000.0;1522.688;477.3119999999999
5000.0;4932.096;67.90400000000045
10000.0;9959.936;40.064000000000306
100000.0;99470.336;529.6640000000043
1000.0;1558.016;558.0160000000001
2000.0;1589.248;410.75199999999995
5000.0;4988.928;11.072000000000116
10000.0;10039.296;39.29600000000028
100000.0;100028.928;28.927999999999884
1000.0;1555.968;555.9680000000001
2000.0;1557.76;442.24
5000.0;5001.472;1.4719999999997526
10000.0;10013.44;13.44000000000051
100000.0;100005.888;5.888000000006286
1000.0;1584.896;584.896
2000.0;1594.88;405.1199999999999
5000.0;5045.504;45.503999999999905
10000.0;9995.776;4.22400000000016
100000.0;99991.552;8.448000000003958
1000.0;1559.808;559.808
2000.0;1522.688;477.3119999999999
5000.0;5489.92;489.9200000000001
10000.0;10005.248;5.2479999999995925
100000.0;100100.096;100.096000000005
1000.0;1562.624;562.624
2000.0;1604.096;395.904
5000.0;4495.36;504.6400000000003
10000.0;9988.608;11.391999999999825
100000.0;99881.472;118.5280000000057
1000.0;1569.024;569.0239999999999
2000.0;1600.512;399.48800000000006
5000.0;4960.768;39.23199999999997
10000.0;10002.944;2.9439999999995052
100000.0;100200.448;200.44800000000396
1000.0;1518.08;518.0799999999999
2000.0;1591.04;408.96000000000004
5000.0;5040.128;40.1279999999997
10000.0;9998.336;1.6640000000006694
100000.0;99761.152;238.84799999999814
1000.0;1621.76;621.76
2000.0;1767.168;232.8320000000001
5000.0;4977.92;22.079999999999927
10000.0;9991.68;8.319999999999709
100000.0;100097.536;97.53599999999278
1000.0;1640.448;640.4480000000001
2000.0;1726.208;273.7919999999999
5000.0;5036.8;36.80000000000018
10000.0;10101.504;101.50400000000081
100000.0;99986.432;13.567999999999302
1000.0;1631.232;631.232
2000.0;1522.176;477.82400000000007
5000.0;4956.672;43.32800000000043
10000.0;9904.384;95.61599999999999
100000.0;100008.704;8.703999999997905
1000.0;1520.64;520.6400000000001
2000.0;1596.16;403.8399999999999
5000.0;4990.976;9.024000000000342
10000.0;10001.408;1.407999999999447
100000.0;100039.424;39.42399999999907
1000.0;1605.888;605.8879999999999
2000.0;1577.728;422.27199999999993
5000.0;4993.28;6.720000000000255
10000.0;9999.36;0.6399999999994179
100000.0;99900.16;99.83999999999651
1000.0;1569.792;569.7919999999999
2000.0;1553.664;446.336
5000.0;5026.304;26.304000000000087
10000.0;10091.776;91.77599999999984
100000.0;100000.256;0.2559999999939464
1000.0;1556.992;556.992
2000.0;1561.6;438.4000000000001
5000.0;4978.944;21.055999999999585
10000.0;9902.592;97.40799999999945
100000.0;100104.704;104.7039999999979
1000.0;1565.44;565.44
2000.0;1560.832;439.1679999999999
5000.0;5019.392;19.391999999999825
10000.0;9973.248;26.752000000000407
100000.0;99994.368;5.631999999997788
1000.0;1561.088;561.088
2000.0;1618.944;381.05600000000004
5000.0;4980.736;19.264000000000124
10000.0;10034.688;34.6880000000001
