OS,Min,Median,Mean,P90,P95,P99,P99_9,Max,Std
Zephyr,669.321,692.976,693.028,693.381,693.381,693.381,695.637,714.036,0.558
FreeRTOS,13.018,15.244,78.503,19.494,19.881,21.423,10621.375,10623.095,808.621
Ubuntu,0.225,2.867,7.454,3.22,3.328,8.766,39.489,53656.311,359.902
Windows,62.6,91.3,97.585,105.6,121.9,168.2,348.0,42576.7,223.652
