40826;43532
46113;48674
52057;54617
57227;60567
63177;65738
69062;71623
74233;77508
80118;82679
86003;88564
91174;94449
97059;99620
102348;104907
107517;110854
113475;116036
119425;121986
124596;127871
130481;133042
136366;138927
141537;144812
147422;149983
152747;155262
157872;161482
164092;166653
169977;172538
175148;178423
181033;183594
186347;188879
191489;194050
197449;200010
203399;205960
208570;211845
214455;217016
220340;222901
225511;228786
231396;233957
236762;239248
241858;244419
247818;250379
253768;256329
258939;262219
264829;267390
270714;273275
275885;279160
281770;284331
287655;290216
292826;295532
298113;300674
304057;306617
309227;312567
315177;317738
321062;323623
326233;329220
331830;334391
337780;340341
342951;346226
348836;351397
354721;357282
359892;363167
365777;368338
371662;374223
376833;379532
382127;384688
388075;390636
393246;396586
399196;401757
405081;407642
410252;413527
416137;418698
422022;424583
427193;429949
432484;435045
437655;441002
443612;446952
449562;452123
455447;458008
460618;463893
466503;469064
472388;474949
477559;480834
483444;486005
488747;491294
493904;497514
500124;502685
506009;508570
511180;513948
516467;519032
521642;524992
527602;530942
533552;536113
539437;541998
544608;547883
550493;553054
556378;558939
561549;564824
567434;569995
572748;575280
577890;580451
583851;586412
589801;592362
594972;598247
600857;2168019
2171416;2173977
2177366;2179927
2182537;2185818
2188428;2190989
2194313;2196874
2199484;2202759
2205369;2207930
2211254;2213815
2216425;2219131
2221712;2224273
2227656;2230216
2232826;2236166
2238776;2241337
2244661;2247222
2249832;2253107
2255717;2258278
2261602;2264163
2266773;2270048
2272658;2275219
2277947;2280506
2283116;2286453
2289074;2291635
2295024;2297585
2300195;2303470
2306080;2308641
2311965;2314526
2317136;2320411
2323021;2325582
2328346;2330861
2333794;2337069
2339679;2342240
2345564;2348125
2350735;2354010
2356620;2359181
2361946;2364461
2367071;2369632
2373025;2375586
2378975;2381536
2384146;2387421
2390031;2392592
2395916;2398477
2401087;2404362
2406972;2409533
2412857;2415418
2418028;2420732
2423313;2425874
2429256;2431816
2434426;2437766
2440376;2442937
2446261;2448822
