1ms;78770632013
2ms;78770651851
5ms;78770672001
10ms;78770721934
100ms;78771642072
1ms;78770643966
2ms;78770666886
5ms;78770722382
10ms;78770831844
100ms;78772640936
1ms;78770692348
2ms;78770692173
5ms;78770772083
10ms;78770932309
100ms;78773632998
1ms;78770712328
2ms;78770712021
5ms;78770831855
10ms;78771021814
100ms;78774633008
1ms;78770752674
2ms;78770852965
5ms;78770871824
10ms;78771121805
100ms;78775634311
1ms;78770855066
2ms;78770882741
5ms;78770932219
10ms;78771231786
100ms;78776633499
1ms;78770874277
2ms;78770902445
5ms;78770971807
10ms;78771331783
100ms;78777635243
1ms;78771006197
2ms;78771002587
5ms;78771022101
10ms;78771431766
100ms;78778633046
1ms;78771025738
2ms;78771029545
5ms;78771081995
10ms;78771531768
100ms;78779633397
1ms;78771162290
2ms;78771052139
5ms;78771121805
10ms;78771631995
100ms;78780634026
1ms;78771171762
2ms;78771162306
5ms;78771181740
10ms;78771731987
100ms;78781634285
1ms;78771191736
2ms;78771191733
5ms;78771231765
10ms;78771832054
100ms;78782633995
1ms;78771201736
2ms;78771211758
5ms;78771281758
10ms;78771931988
100ms;78783638374
1ms;78771211749
2ms;78771231767
5ms;78771331779
10ms;78772023101
100ms;78784632968
1ms;78771221739
2ms;78771261580
5ms;78771381751
10ms;78772123508
100ms;78785636151
1ms;78771231776
2ms;78771322130
5ms;78771431755
10ms;78772222943
100ms;78786635095
1ms;78771251750
2ms;78771341755
5ms;78771481761
10ms;78772329354
100ms;78787633767
1ms;78771263235
2ms;78771371736
5ms;78771531764
10ms;78772430663
100ms;78788634881
1ms;78771322060
2ms;78771391835
5ms;78771581734
10ms;78772530624
100ms;78789634870
1ms;78771343330
2ms;78771411735
5ms;78771631896
10ms;78772631641
100ms;78790632890
1ms;78771482687
2ms;78771421743
5ms;78771682094
10ms;78772723294
100ms;78791640626
1ms;78771501034
2ms;78771451720
5ms;78771732070
10ms;78772823038
100ms;78792633819
1ms;78771632654
2ms;78771471722
5ms;78771781992
10ms;78772923485
100ms;78793635104
1ms;78771659941
2ms;78771491745
5ms;78771832168
10ms;78773024123
100ms;78794635603
1ms;78771792481
2ms;78771511733
5ms;78771881997
10ms;78773122994
100ms;78795633851
1ms;78771805469
2ms;78771531757
5ms;78771932085
10ms;78773223426
100ms;78796636190
1ms;78771952460
2ms;78771556080
5ms;78771972362
10ms;78773322933
100ms;78797634822
1ms;78771964358
2ms;78771633044
5ms;78772023031
10ms;78773423922
100ms;78798635321
1ms;78772103905
2ms;78771676733
5ms;78772072780
10ms;78773523201
100ms;78799634333
1ms;78772118803
2ms;78771792128
5ms;78772123116
10ms;78773622981
100ms;78800633189
1ms;78772259978
2ms;78771811728
5ms;78772173730
10ms;78773723530
100ms;78801633989
1ms;78772269264
2ms;78771831743
5ms;78772222675
10ms;78773824994
100ms;78802634458
1ms;78772411264
2ms;78771861714
5ms;78772279079
10ms;78773925194
100ms;78803638206
1ms;78772420654
2ms;78771871719
5ms;78772329092
10ms;78774025029
100ms;78804633512
1ms;78772571211
2ms;78771891705
5ms;78772381587
10ms;78774125076
100ms;78805639471
1ms;78772580474
2ms;78771911718
5ms;78772430785
10ms;78774226152
100ms;78806632543
1ms;78772723816
2ms;78771931727
5ms;78772481586
10ms;78774323779
100ms;78807632983
1ms;78772737029
2ms;78771962099
5ms;78772530748
10ms;78774425047
100ms;78808632247
1ms;78772883952
2ms;78772103712
5ms;78772580712
10ms;78774522983
100ms;78809632546
1ms;78772893313
2ms;78772123364
5ms;78772631784
10ms;78774624195
100ms;78810633173
1ms;78773043676
2ms;78772152762
5ms;78772673090
10ms;78774722975
100ms;78811632563
1ms;78773054927
2ms;78772260341
5ms;78772722857
10ms;78774822661
100ms;78812632310
1ms;78773195120
2ms;78772279415
5ms;78772773743
10ms;78774924253
100ms;78813632361
1ms;78773213315
2ms;78772300282
5ms;78772822775
10ms;78775024821
100ms;78814632287
1ms;78773223623
2ms;78772319387
5ms;78772872770
10ms;78775125195
100ms;78815632591
1ms;78773236240
2ms;78772339337
5ms;78772923145
10ms;78775226460
100ms;78816633529
1ms;78773354592
2ms;78772360334
5ms;78772972788
10ms;78775327426
100ms;78817633842
1ms;78773373857
2ms;78772381324
5ms;78773023729
10ms;78775425414
100ms;78818640603
1ms;78773382820
2ms;78772401314
5ms;78773073047
10ms;78775524251
100ms;78819634807
1ms;78773503453
2ms;78772420378
5ms;78773122720
10ms;78775624219
100ms;78820638948
1ms;78773513003
2ms;78772440413
5ms;78773172933
10ms;78775724663
100ms;78821634590
1ms;78773654364
2ms;78772460351
5ms;78773223505
10ms;78775826776
100ms;78822633744
1ms;78773674016
2ms;78772481321
5ms;78773273933
10ms;78775926771
100ms;78823633542
1ms;78773692937
2ms;78772501344
5ms;78773322673
10ms;78776025865
100ms;78824636657
1ms;78773702953
2ms;78772521285
5ms;78773373581
10ms;78776125971
100ms;78825632995
1ms;78773713255
2ms;78772540620
5ms;78773423615
10ms;78776225854
100ms;78826633167
1ms;78773723610
2ms;78772561310
5ms;78773472712
10ms;78776332161
100ms;78827636151
1ms;78773736553
2ms;78772580403
5ms;78773522740
10ms;78776423288
100ms;78828635823
1ms;78773815751
2ms;78772601816
5ms;78773572722
10ms;78776523566
100ms;78829632663
1ms;78773834678
2ms;78772723843
5ms;78773622670
10ms;78776623567
100ms;78830633437
1ms;78773845766
2ms;78772756074
5ms;78773673616
10ms;78776724394
100ms;78831632252
1ms;78773976441
2ms;78772883513
5ms;78773723023
10ms;78776826544
100ms;78832633841
1ms;78773998046
2ms;78772914100
5ms;78773773596
10ms;78776932473
100ms;78833640892
1ms;78774135875
2ms;78772923485
5ms;78773824751
10ms;78777031364
100ms;78834633344
1ms;78774155085
2ms;78772953940
5ms;78773874432
10ms;78777131363
100ms;78835635595
1ms;78774165093
2ms;78772963252
5ms;78773925074
10ms;78777231358
100ms;78836633871
1ms;78774175184
2ms;78772993962
5ms;78773976189
10ms;78777324415
100ms;78837635509
1ms;78774184822
2ms;78773003287
5ms;78774025188
10ms;78777425534
100ms;78838634466
1ms;78774195057
2ms;78773024032
5ms;78774075929
