OS,Min,Median,Mean,P90,P95,P99,P99_9,Max,Std
Zephyr,12.923,19.137,18.458,19.137,19.137,19.137,19.137,50.054,1.362
FreeRTOS,10.81,10.899,10.899,10.899,10.899,10.899,10.899,10.899,0.001
Ubuntu,0.084,0.573,1.195,2.417,5.578,7.442,14.114,1963.044,6.455
Windows,1.0,5.0,5.382,5.4,6.5,13.7,48.26,9789.1,34.674
