OS,Load,Min,Median,Mean,P90,P95,P99,P99_9,Max,Std
Zephyr,Idle,0.001,0.001,0.164,0.001,0.001,0.22,16.399,16.399,1.615
Zephyr,Stress,360.405,496.69,498.918,514.351,521.613,522.107,522.179,1098.964,13.941
FreeRTOS,Idle,0.001,0.001,0.054,0.001,0.001,0.001,6.798,11.458,0.593
FreeRTOS,Stress,24.298,48.292,47.239,49.917,50.208,54.976,78.673,80.738,5.806
Ubuntu,Idle,0.001,2.082,4.813,9.824,18.141,44.398,116.308,169.017,9.997
Ubuntu,Stress,0.001,52.244,41.907,69.337,84.853,97.705,133.489,2964.577,31.997
Windows,Idle,0.001,12.6,83.128,127.7,135.0,998.6,1055.102,29916.6,328.542
Windows,Stress,0.001,21.4,63.262,110.9,112.7,523.616,2981.999,62951.8,473.94
