measured_time_us;Jitter_us
2073.9166666666665;1073.9166666666665
2081.3035714285716;1081.3035714285716
2073.625;1073.625
2081.1428571428573;1081.1428571428573
2098.964285714286;1098.9642857142858
2073.6130952380954;1073.6130952380954
2081.1071428571427;1081.1071428571427
2080.9285714285716;1080.9285714285716
2073.940476190476;1073.9404761904761
2098.8214285714284;1098.8214285714284
2081.2916666666665;1081.2916666666665
2073.8571428571427;1073.8571428571427
2081.559523809524;1081.5595238095239
2073.9464285714284;1073.9464285714284
2098.684523809524;1098.6845238095239
2081.2738095238096;1081.2738095238096
2073.7261904761904;1073.7261904761904
2081.1071428571427;1081.1071428571427
2098.8571428571427;1098.8571428571427
2073.809523809524;1073.8095238095239
2081.1428571428573;1081.1428571428573
2081.2976190476193;1081.2976190476193
2073.845238095238;1073.845238095238
2098.8214285714284;1098.8214285714284
2081.535714285714;1081.5357142857142
1656.3154761904761;656.3154761904761
1360.7142857142858;360.7142857142858
1360.4464285714287;360.44642857142867
1367.797619047619;367.79761904761904
1360.8333333333333;360.83333333333326
1378.1964285714287;378.19642857142867
1367.7559523809523;367.7559523809523
1360.7142857142858;360.7142857142858
1360.4464285714287;360.44642857142867
1360.4464285714287;360.44642857142867
1368.0059523809523;368.0059523809523
1360.4464285714287;360.44642857142867
1385.779761904762;385.7797619047619
1360.529761904762;360.5297619047619
1360.5357142857142;360.5357142857142
1360.7440476190477;360.7440476190477
1367.8869047619048;367.8869047619048
1360.5357142857142;360.5357142857142
1360.642857142857;360.6428571428571
1385.4880952380952;385.4880952380952
1360.6845238095239;360.68452380952385
1360.5059523809523;360.5059523809523
1367.8869047619048;367.8869047619048
1360.7857142857142;360.7857142857142
1360.4940476190477;360.4940476190477
1360.5357142857142;360.5357142857142
1368.0833333333333;368.08333333333326
1378.1666666666667;378.16666666666674
1360.4464285714287;360.44642857142867
1368.0654761904761;368.06547619047615
1360.517857142857;360.5178571428571
1360.702380952381;360.70238095238096
1360.5059523809523;360.5059523809523
1367.8869047619048;367.8869047619048
1378.547619047619;378.54761904761904
1367.8690476190477;367.8690476190477
1360.4464285714287;360.44642857142867
